"","discharge","TN","TP"
"657",1148256000,68281364551.68,3901792260.096
"658",962841600,57255645339.648,3271751162.2656
"659",772156800,45916520315.904,2623801160.9088
"660",2429568000,144474941399.04,8255710937.088
"661",2065824000,122844802590.72,7019703005.184
"662",886377600,45178879002.624,2760931494.6048
"663",1337472000,68171268833.28,4166021984.256
"664",410486400,20922590324.736,1278602742.0672
"665",607737600,30976531329.024,1893010247.8848
"666",192214080,9797197788.9792,424545237.522432
"667",346723200,17672564717.568,765811137.76128
"668",64281600,3276448579.584,141979438.44864
"669",0,0,0
"670",298408320,10139962458.9312,844996871.5776
"671",333936000,11347198709.76,945599892.48
"672",343267200,11664274378.752,972022864.896
"673",260936640,8866668777.0624,738889064.7552
"674",308534400,14852401726.464,733883379.42528
"675",156988800,7557214768.128,373415317.95456
"676",304560000,14661079833.6,724429827.072
"677",199644480,9610597779.1488,474876596.146176
"678",0,0,0
"679",80697600,3884666259.456,191948215.17312
"680",121080960,5828663057.8176,171431266.4064
"681",0,0,0
"682",222678720,10719432923.4432,315277438.9248
"683",237375360,11426908009.8816,336085529.7024
"684",189025920,9099435591.4752,267630458.5728
"685",216319680,10413317894.8608,318525017.960448
"686",177552000,8547097605.12,261440632.6272
"687",171106560,8236823404.9536,251949892.386816
"688",166553280,8017635062.4768,245245307.793408
"689",181094400,8717623640.064,266656723.10784
"690",0,0,0
"691",280454400,10324042500.096,436786413.4656
"692",183945600,6771375995.904,286481292.1344
"693",0,0,0
"694",0,0,0
"695",0,0,0
"696",0,0,0
"697",0,0,0
"698",77414400,3945830547.456,416504335.5648
"699",0,0,0
"700",0,0,0
"701",0,0,0
"702",0,0,0
"703",1296000,69727288.32,6238757.376
"704",585532800,31502788862.976,2818670582.4768
"705",1298805670.15726,69878238761.3474,6252263468.12056
"706",748483200,40269833247.744,3603090343.2192
"707",963360000,51830617651.2,7092610836.48
"708",442713600,23818841690.112,3259420441.8048
"709",293155200,15772312617.984,2158316463.5136
"710",807235200,43430803651.584,5943162604.9536
"711",1281312000,68937045719.04,9433490466.816
