eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
REU-15-002,2015,,,0,,0,,0,0,1,0,0,0,,0,0,Saint Paul,-21,55.266667,,6/22/2015,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,"fish bought in Mauritius (3,5 kgs)",0,,grouper,,,,9/27/2017 1:55,9/27/2017 1:56,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Geminigera sp.,,,,,,,,,,,,,,,,,,,,
REU-15-001,2015,,,0,,1,this species is regularly involved in CFP,0,0,1,0,0,0,,0,0,Saint Denis,-20.866667,55.45,,3/26/2015,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,"fish bought in Mauritius (3,5 kgs)",NULL,,Variola louti,,,,9/26/2017 4:44,9/26/2017 4:45,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-14-001,2014,,,0,,1,this species is regularly involved in CFP,0,0,1,0,0,0,,0,0,Saint Denis,-20.866667,55.45,,6/5/2014,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,fish bought in Mauritius,NULL,,Variola louti,,,,9/26/2017 4:32,9/26/2017 4:47,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-13-001,2013,,,0,,NULL,,0,0,1,0,0,0,,0,0,Saint Denis,-20.866667,55.45,,5/28/2013,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,,0,,grouper,,,,9/27/2017 1:49,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
PHL-10-001,2010,,,1,,NULL,,0,0,1,0,0,0,,0,0,"Mina, Iloilo",,,,6/1/2010,,,,,June 2010 - no specific date,0,,,1,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,red snapper,"Mendoza, C. O., A. C. Rabanes, E. C. Jimenez, R. V. Azanza, J. Cortez-Akhunzadah, and L. J. Cruz. 2010. Detection of ciguatera fish poisoning in the Philippines. Journal of Environmental Science and Management 1-2013:50-55",,,9/28/2017 2:57,,,PHILIPPINES,CFP (Ciguatera Fish Poisoning),,22 people with CFP,22 people with CFP,Used Mass spectrometer in this paper; also tested separately by the Bureau of Fisheries and Agriculture by Cigua-Check,LC-UV,1123.67 [M+H-H2O]+,Ciguatoxins,,,,,,,,,,,,,,,,,,,,,
PF-19-031,2019,Marquesas archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,NUKU HIVA,,,,4/10/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Variola louti,,,,4/16/2019 1:24,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-030,2019,Marquesas archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,NUKU HIVA,,,,4/12/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus bohar,,,,4/16/2019 1:23,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-029,2019,Tuamotu archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MAKATEA,,,,3/29/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Monotaxis granducolis,,,,4/11/2019 1:31,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-028,2019,Tuamotu archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MAKEMO,,,,1/3/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus bohar,,,,4/11/2019 1:30,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-027,2019,Tuamotu archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MAKEMO,,,,4/8/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Plectropomus laevis,,,,4/11/2019 1:28,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
