"","Date","Real","SVM","NB","RVM","NET"
"1","1998-01-01","0","0","1","1","0"
"2","1998-01-08","1","1","1","1","0"
"3","1998-01-15","1","0","1","1","0"
"4","1998-01-22","0","1","1","1","0"
"5","1998-01-29","0","0","1","1","0"
"6","1998-02-05","0","1","1","0","0"
"7","1998-02-12","1","0","1","1","0"
"8","1998-02-19","0","0","1","0","0"
"9","1998-02-26","1","1","1","0","1"
"10","1998-03-05","0","0","1","0","1"
"11","1998-03-12","0","0","1","0","0"
"12","1998-03-19","0","0","1","0","0"
"13","1998-03-26","0","1","1","1","1"
"14","1998-04-02","0","0","1","1","0"
"15","1998-04-09","0","0","1","0","1"
"16","1998-04-16","0","1","1","1","1"
"17","1998-04-23","0","1","1","1","1"
"18","1998-04-30","0","0","0","0","0"
"19","1998-05-07","0","0","0","0","0"
"20","1998-05-14","0","1","1","1","0"
"21","1998-05-21","0","0","0","0","0"
"22","1998-05-28","0","0","0","0","0"
"23","1998-06-04","0","0","0","0","0"
"24","1998-06-18","0","0","0","0","0"
"25","1998-06-25","0","0","0","0","0"
"26","1998-07-02","0","0","0","0","0"
"27","1998-07-09","0","0","0","0","0"
"28","1998-07-16","0","0","1","0","0"
"29","1998-07-23","0","0","1","0","0"
"30","1998-07-30","0","0","1","0","1"
"31","1998-08-06","0","0","1","0","0"
"32","1998-08-13","0","0","1","0","0"
"33","1998-08-20","0","1","1","1","1"
"34","1998-08-27","0","0","1","0","0"
"35","1998-09-03","0","0","1","0","0"
"36","1998-09-10","0","0","1","0","1"
"37","1998-09-17","0","0","1","0","0"
"38","1998-09-24","0","0","0","0","1"
"39","1998-10-01","0","1","1","1","0"
"40","1998-10-08","0","1","1","1","0"
"41","1998-10-15","0","1","1","1","1"
"42","1998-10-22","0","1","1","1","0"
"43","1998-10-29","0","1","1","1","0"
"44","1998-11-05","0","1","1","1","1"
"45","1998-11-12","1","1","1","1","1"
"46","1998-11-19","0","1","1","1","1"
"47","1998-11-26","1","1","1","1","0"
"48","1998-12-03","1","1","1","1","1"
"49","1998-12-10","1","0","1","1","1"
"50","1998-12-17","1","0","1","1","0"
"51","1998-12-24","1","0","1","1","0"
"52","1998-12-31","1","0","1","0","0"
"53","1999-01-07","1","0","1","0","0"
"54","1999-01-14","1","1","1","1","0"
"55","1999-01-21","1","0","1","0","0"
"56","1999-01-28","0","1","1","1","1"
"57","1999-02-04","1","1","1","1","0"
"58","1999-02-11","1","0","1","1","0"
"59","1999-02-18","1","0","0","1","1"
"60","1999-02-25","0","0","0","0","0"
"61","1999-03-04","0","1","0","0","0"
"62","1999-03-11","0","0","0","0","0"
"63","1999-03-18","0","0","0","0","0"
"64","1999-03-25","0","0","0","0","0"
"65","1999-04-01","0","0","0","0","0"
"66","1999-04-08","0","0","0","0","0"
"67","1999-04-15","0","0","0","0","0"
"68","1999-04-22","0","0","0","0","0"
"69","1999-04-29","0","0","0","1","0"
"70","1999-05-06","0","0","0","0","0"
"71","1999-05-13","0","0","0","0","0"
"72","1999-05-20","0","0","0","0","0"
"73","1999-05-27","0","0","0","1","0"
"74","1999-06-03","0","0","1","1","0"
"75","1999-06-10","0","0","1","1","0"
"76","1999-06-17","0","1","1","1","0"
"77","1999-06-24","0","0","1","1","0"
"78","1999-07-01","0","1","1","1","0"
"79","1999-07-08","0","0","1","1","0"
"80","1999-07-15","0","0","1","1","0"
"81","1999-07-22","0","0","0","0","0"
"82","1999-07-29","0","0","0","0","0"
"83","1999-08-05","0","0","0","0","0"
"84","1999-08-12","0","0","1","0","0"
"85","1999-08-19","0","1","1","0","0"
"86","1999-08-26","0","0","1","1","0"
"87","1999-09-02","0","0","1","0","0"
"88","1999-09-09","1","0","1","0","0"
"89","1999-09-16","0","0","1","1","0"
"90","1999-09-23","0","0","1","1","1"
"91","1999-09-30","1","0","1","1","1"
"92","1999-10-07","1","0","1","1","1"
"93","1999-10-14","0","0","1","1","0"
"94","1999-10-21","0","1","1","1","1"
"95","1999-10-28","0","1","1","1","0"
"96","1999-11-04","0","1","1","1","1"
