"","Total Accuracy","HAB Accuracy","Non-HAB Accuracy","Recall","Precision","F1","Matthews"
"SVM",0.617537313432836,0.261006289308176,0.76790450928382,0.261006289308176,0.321705426356589,0.288194444444444,0.030891376860722
"RVM",0.587686567164179,0.468553459119497,0.637931034482759,0.468553459119497,0.353080568720379,0.402702702702703,0.0995572057884286
"NB",0.467350746268657,0.732704402515723,0.355437665782493,0.732704402515723,0.324061196105702,0.449373191899711,0.0856703758596095
"NET",0.596082089552239,0.39937106918239,0.679045092838196,0.39937106918239,0.344173441734417,0.369723435225619,0.0753900393217274
