"","Total Accuracy","HAB Accuracy","Non-HAB Accuracy","Recall","Precision","F1","Matthews"
"SVM",0.615671641791045,0.267295597484277,0.762599469496021,0.267295597484277,0.321969696969697,0.292096219931271,0.0316950265500569
"RVM",0.55410447761194,0.578616352201258,0.543766578249337,0.578616352201258,0.348484848484849,0.434988179669031,0.111815927339813
"NB",0.473880597014925,0.723270440251572,0.368700265251989,0.723270440251572,0.325779036827195,0.44921875,0.0885943156275584
"NET",0.612873134328358,0.333333333333333,0.730769230769231,0.333333333333333,0.343042071197411,0.338118022328549,0.0646447299992853
