"","Date","Real","SVM","NB","RVM","NET"
"152","2001-08-23","1","1","1","1","0"
"153","2002-11-28","0","0","1","1","0"
"154","2003-03-06","0","0","1","0","0"
"155","2010-06-03","0","0","0","0","0"
"156","2018-07-26","1","1","1","1","1"
"157","1998-10-15","0","0","1","1","0"
"158","2001-09-27","1","1","1","1","1"
"159","2009-03-26","0","0","0","0","0"
"160","2013-12-12","0","0","1","1","0"
"161","2010-11-18","0","0","1","0","0"
"162","1999-11-18","0","0","1","1","1"
"163","2008-06-12","0","0","0","0","0"
"164","2004-09-16","0","0","1","1","0"
"165","2000-01-20","1","1","0","0","0"
"166","2004-02-12","1","1","1","0","0"
"167","1998-04-02","0","0","1","1","1"
"168","2001-02-15","0","0","0","0","0"
"169","2010-05-06","0","0","0","0","0"
"170","2011-09-08","0","1","1","0","0"
"171","2016-02-04","1","0","1","0","0"
"172","2016-06-09","0","0","0","0","0"
"173","2011-07-07","0","0","1","0","0"
"174","2013-05-30","0","0","1","0","0"
"175","2017-07-20","0","0","1","1","0"
"176","1998-09-17","0","0","1","1","0"
"177","2000-08-24","0","0","1","0","0"
"178","2016-02-25","0","0","1","1","0"
"179","2012-12-20","1","1","0","0","1"
"180","2017-09-21","0","0","1","1","0"
"181","1999-07-01","0","0","1","1","0"
"182","2016-10-27","1","1","1","1","1"
"183","2010-12-16","0","0","1","1","0"
"184","2015-03-19","0","0","1","1","0"
"185","1999-11-11","0","0","1","1","1"
"186","2012-05-10","0","0","0","0","0"
"187","2007-05-31","0","0","0","0","0"
"188","2001-07-12","0","0","0","0","1"
"189","2016-09-01","0","0","1","1","1"
"190","2000-06-08","0","0","0","0","0"
"191","2016-02-11","1","0","1","1","0"
"192","2007-08-09","0","0","1","0","0"
"193","2008-10-16","0","0","1","1","0"
"194","2011-06-02","0","0","0","0","0"
"195","2007-11-08","0","0","0","0","0"
"196","2004-07-01","0","0","1","1","0"
"197","2008-06-26","0","1","1","0","0"
"198","2008-07-17","0","0","1","0","0"
"199","2001-06-21","0","0","0","0","0"
