"","Real","SVM","NB","RVM","NET"
"245",0,0,0,0,0
"246",1,1,1,1,1
"247",0,0,1,0,0
"248",0,1,0,0,1
"249",0,0,0,0,0
"250",0,0,1,0,1
"251",0,0,0,0,0
"252",0,0,1,0,1
"253",0,0,1,0,0
"254",0,1,1,1,0
"255",1,1,1,1,1
"256",1,0,1,0,0
"257",0,0,1,1,0
"258",0,0,0,0,0
"259",1,0,1,0,1
"260",0,0,1,0,0
"261",0,0,1,0,0
"262",0,1,1,0,1
"263",1,1,1,1,0
"264",0,0,1,0,0
"265",0,0,0,0,0
"266",1,1,1,1,1
"267",0,1,1,1,0
"268",0,0,1,1,0
"269",1,0,1,0,0
"270",0,0,0,0,0
"271",0,1,1,0,1
"272",0,1,1,0,0
"273",0,0,0,0,1
"274",0,0,1,1,0
"275",1,0,1,1,0
"276",0,0,1,1,0
"277",0,0,0,0,1
"278",0,0,0,0,0
"279",0,1,1,0,1
"280",0,0,0,1,0
"281",0,0,0,0,0
"282",0,0,1,1,0
"283",1,1,0,0,0
"284",0,0,1,1,1
"285",1,1,1,1,1
"286",0,0,0,0,0
"287",0,0,1,0,0
"288",0,0,0,0,0
"289",0,0,1,0,0
"290",1,1,0,0,1
"291",0,0,0,0,0
"292",0,0,0,0,0
"293",0,0,1,1,0
"294",1,1,1,1,1
"295",0,1,0,1,0
"296",0,0,0,0,1
"297",0,1,1,0,0
"298",1,0,0,0,0
"299",0,0,1,1,0
"300",0,0,1,0,0
"301",1,0,1,0,1
"302",0,0,0,0,1
"303",0,0,0,0,0
"304",1,1,1,1,1
"305",0,0,0,0,0
"306",0,0,0,1,1
"307",1,1,1,0,0
"308",1,1,1,1,0
"309",0,0,0,0,0
"310",0,0,0,0,1
"311",0,0,1,1,0
"312",0,0,0,0,0
"313",0,0,1,1,0
"314",0,0,0,0,1
"315",0,0,1,1,1
"316",0,0,1,0,0
"317",0,1,1,1,1
"318",0,0,1,1,0
"319",0,1,1,1,1
"320",0,0,0,0,0
"321",0,1,0,1,1
"322",1,1,1,1,0
"323",1,1,1,1,1
"324",0,1,0,0,0
"325",0,0,1,1,0
"326",1,1,1,1,0
"327",0,0,0,0,0
"328",0,0,0,0,0
"329",1,1,1,1,1
"330",0,0,0,0,0
"331",0,0,1,0,1
"332",1,0,1,0,1
"333",1,0,0,0,0
"334",1,0,1,1,0
"335",0,0,1,0,0
"336",0,1,1,0,0
"337",1,1,1,1,0
"338",1,1,1,1,1
"339",0,0,1,0,1
"340",0,0,1,0,0
"341",0,0,0,0,0
"342",1,1,1,1,1
"343",0,0,1,0,0
"344",0,0,0,0,0
"345",0,0,0,0,0
"346",0,0,0,0,0
"347",0,0,0,0,0
"348",0,0,1,1,1
"349",0,1,1,1,1
"350",0,0,1,1,0
"351",1,1,1,0,1
"352",0,0,1,0,0
"353",1,0,1,1,1
"354",0,0,0,0,1
"355",0,1,0,0,0
"356",0,0,0,0,0
"357",0,0,0,0,0
"358",0,0,1,0,0
"359",0,0,0,0,0
"360",1,1,0,1,1
"361",1,0,0,1,1
"362",1,1,1,1,1
"363",0,0,0,0,0
"364",1,1,1,1,0
"365",1,1,1,1,1
"366",0,0,1,0,0
"367",0,0,0,0,0
"368",0,0,0,0,0
"369",0,0,1,0,0
"370",1,1,1,1,1
"371",0,0,1,0,0
"372",0,0,0,0,0
"373",0,0,0,0,0
"374",1,1,1,1,0
"375",0,1,1,1,1
"376",1,1,0,0,1
"377",1,1,1,1,0
"378",0,0,0,0,0
"379",0,0,0,1,0
"380",0,0,0,0,0
"381",0,0,0,1,0
"382",0,0,0,0,0
"383",1,1,1,1,1
"384",0,0,1,1,0
"385",0,1,1,1,0
"386",0,1,1,1,1
"387",0,0,0,0,1
"388",0,0,0,0,1
"389",0,0,1,1,0
"390",1,1,0,0,1
"391",0,0,0,0,0
"392",0,0,0,0,0
"393",0,0,1,1,0
"394",0,0,0,0,0
"395",0,0,1,1,0
"396",0,0,0,0,0
"397",1,0,1,0,0
"398",0,0,1,1,0
"399",1,1,1,0,0
"400",0,0,0,0,0
"401",1,1,1,0,0
"402",1,0,0,0,1
"403",0,0,0,0,0
"404",0,0,0,0,0
"405",0,0,0,0,0
"406",1,0,0,0,1
"407",1,0,1,0,1
"408",0,1,1,1,1
"409",1,1,0,0,0
"410",0,0,1,0,0
"411",0,0,0,1,0
"412",0,0,0,0,0
"413",0,0,1,0,0
"414",0,0,1,0,0
"415",1,1,1,1,1
"416",1,0,1,1,0
"417",0,0,1,1,1
"418",1,0,1,0,0
"419",0,0,1,1,1
"420",0,0,0,0,1
"421",1,1,1,1,0
"422",0,0,1,0,1
"423",1,1,1,0,0
"424",0,0,0,0,0
"425",0,0,0,0,1
"426",0,0,0,0,0
"427",0,0,0,0,1
"428",1,1,1,1,1
"429",0,1,0,0,0
"430",0,0,0,1,0
"431",1,0,0,0,1
"432",0,0,0,0,0
"433",1,0,0,0,0
"434",0,1,1,1,1
"435",0,0,1,1,0
"436",1,1,1,0,0
"437",0,0,1,0,0
"438",0,0,1,1,0
"439",1,1,0,1,0
"440",0,0,0,0,1
"441",0,1,1,1,0
"442",1,1,1,1,1
"443",0,0,0,0,0
"444",1,1,1,1,1
"445",0,0,0,0,0
"446",1,1,1,1,0
"447",0,0,1,0,0
"448",0,0,1,1,0
"449",0,0,1,1,0
"450",0,1,0,0,0
"451",1,1,1,1,0
"452",0,0,1,1,0
"453",1,0,1,0,0
"454",1,1,0,1,0
"455",0,0,0,0,0
