"","Real","SVM","NB","RVM","NET"
"1065",0,0,1,0,0
"1066",1,1,1,1,0
"1067",0,1,1,0,1
"1068",0,0,0,0,1
"1069",0,0,1,0,1
"1070",1,0,1,1,1
"1071",1,1,1,1,1
"1072",0,0,0,0,1
"1073",1,0,0,0,1
"1074",1,0,1,1,0
"1075",1,1,1,1,0
"1076",0,0,0,0,0
"1077",1,0,1,0,1
"1078",1,0,1,1,0
"1079",0,0,1,0,1
"1080",0,0,0,0,0
"1081",1,1,1,0,1
"1082",1,0,1,1,1
"1083",1,1,1,1,1
