"","venf1.NS","venf1.EW","venf1.ATMP","cdrf1.NS","cdrf1.EW","X42039.NS","X42039.EW","X42003.NS","X42003.EW","Okeechobee","Suwanee","Tampa_TN_mg","Myakka_TN_mg","Peace_TN_mg","Withlacoochee_TN_mg","Manatee_TN_mg","Hillsborough_TN_mg","Tampa_TP_mg","Myakka_TP_mg","Peace_TP_mg","Withlacoochee_TP_mg","Manatee_TP_mg","Hillsborough_TP_mg","State"
"613",0.921627408311183,-0.341743444900903,1.19166625260757,1.15471007817158,-0.164578508198007,1.04646509811297,-0.290356523021225,0.895999988845559,-1.04510508352592,0.413893608171128,-0.32361981534051,0.699636149091191,0.992295194324864,0.465331182825179,-0.553549417033048,-0.040809666943131,0.703935759838235,0.496925625251488,1.15320228312631,0.519512001777278,-0.264683195769943,-0.254064485858982,1.0115833302356,0
"405",0.234766855052824,0.786382019346167,0.856477136292073,0.849993451113538,1.58038202116123,0.145429770971528,1.58063906402369,-5.51669413900311e-11,-4.42155667994354e-10,-0.440886066405238,0.112861790925264,0.409621275124467,-0.461732990401874,0.619131166498743,-0.644655219414924,0.0943450078094767,0.180375371049436,0.46247812376141,-0.400253036896129,0.684783413247888,-0.673329157138836,-0.0439899075447433,-0.0833040573084736,1
"637",0.360419911008204,-2.76813688722427,-1.36212902793927,-0.860781830652619,-1.53673272269488,0.432873820917223,-2.47385519237705,0.582787912941167,-3.83890085115461,0.616696540159158,0.318518570006839,0.770122342902792,0.371593374047598,0.705453428336402,1.60082345505753,0.650336752971576,1.36458693294707,0.504784486725502,0.0334016016563872,0.777544948953064,1.7976799491467,1.21893873383864,0.933423233914814,0
"389",-0.254911581261328,1.19634806834891,0.972622117111867,-1.7130071350781,1.22510595870899,-1.01266715203504,0.773007939039696,-0.274076102235829,0.666616104527847,1.70175397131972,0.318518570006839,0.542989758150354,1.67972658374587,1.78616035639371,1.18967849840396,2.09937635835323,0.664558026080873,0.642939359079724,1.68173214115898,1.938894447247,1.26054622907224,2.32074964451492,0.452713339543211,1
"423",-2.87143317533286,-0.113296054738559,-1.34046285739539,-1.85921635197338,-1.25854977143955,-0.773693311029717,-2.59257849401896,-2.11164805738911,-2.61223543762673,1.14562988938485,1.20276562589658,1.4524417712521,-0.939370783955554,0.509496399650063,0.973029601460856,1.18230998614017,0.6728581246999,1.39501293843351,-1.02460178233204,0.566971153048593,0.768997167468584,-0.230077912579995,0.0516707560164101,0
"847",0.612435416941568,-2.21512977612663,-0.686591894599593,1.11543923932445,-0.555038448401657,1.27570544628785,-0.506185349328979,1.02921728229817,0.0793728854753104,-1.35692807123078,0.318518570006839,-0.188649131440069,-0.390402159497896,-0.476848981682872,1.80332618708075,0.104258304970145,-0.168962757475973,-0.0813101812491642,-0.485092350330416,-0.515856726595162,1.17026429517729,-0.138902814401965,-0.135352690704823,0
"1075",3.34806118479654e-08,-9.99809966026958e-08,-9.93856051050666e-07,5.60922248451514e-09,-1.61891401614241e-08,4.65160092315842e-09,-7.16026120795142e-08,3.60162950045143e-09,1.16017991445826e-08,0.203753782868414,1.0799613197602,0.562043344104037,1.4174384423539,1.66499126587537,1.19270107593873,1.19730262194533,2.12239712499839,0.672230658977135,1.45130873123328,1.69544579374067,0.994309740366511,0.990030901795176,2.49622033620031,1
"974",-0.107845702294733,0.968116147378128,1.14551500572719,0.524323246904955,1.6657477875969,-0.100236898606595,1.28997464895524,-0.224795435666766,1.27915742611645,-0.380169982901296,-0.302229758532099,1.27599046882365,0.703786962684715,0.576114720737804,-1.03061886909816,-0.0529756774323667,0.667850668881662,1.35631534637686,0.869479480509597,0.459084902309189,-0.415986914728151,-1.03875974790189,1.05230436455052,0
"745",1.43684837707292,-1.4245493575249,-0.122319700868804,1.13745120856942,-0.979652343798595,1.09493526149482,-1.17838745019828,0.902442453968867,-0.176908027553041,-0.585252326145703,-0.830538557994751,-1.13896312418089,-2.53540711523712,-2.76135243726587,-1.15059115113177,0.378675172791517,-1.48699811690566,-1.21515111491636,-2.25049773493602,-1.74402759734066,-1.02254504576977,-0.227501624941905,-1.18263276039145,0
"188",-0.707707111959371,0.942814148578832,0.646774793971563,-1.51152406733111,1.29072945617063,-1.66875007367234,0.978839222570597,-2.24682802913396,-0.0529749153642893,0.566682152615084,-0.239531700619187,1.40119557621249,1.29261100057856,1.24258706047961,0.491976102048543,1.73878387987107,0.815852984119381,1.11841936949971,1.0839529653539,1.29461412240268,0.550839123786948,1.46340767822242,0.916804682395592,0
"521",0.715954545412372,-0.359205227050071,-0.915256682768237,0.788363246282283,0.604097526180361,0.76356918946684,1.04284645191335,0.546297418129052,0.37743013133319,-1.41888445744811,-1.92081779598453,-0.317305133982382,-1.20812996794916,-1.21888644310196,-0.431105231813404,-0.292180079084427,-0.970916863599791,-0.347977407926166,-1.33652158204385,-1.28994726778662,-1.2300936212133,-0.891849865384885,-0.912453850265697,0
"66",-1.472100249244,0.174586919986289,-0.0700335450375801,-1.53750063797231,-0.7121916538305,-0.345010898042262,0.326020705913115,-0.893322312725773,0.365310560676313,0.566682152615084,-0.205555304436258,-1.41429338728201,-0.533602052591259,-1.04752737878738,-0.888821458945105,-0.752738818717092,-0.86481395700703,-1.31950119329863,-1.75224085208125,-1.165960081182,-0.504860940745287,-1.04904300552297,-0.699970156258923,0
"355",-1.46650473621179e-09,3.91353825946014e-09,3.64176322709048e-08,-1.30574298791916,-0.723606060369512,-1.37531276039678,-1.41263950730158,0.299209571573374,-0.141528278134681,-0.052500818359031,2.74474496904186,0.313535050985506,1.09102732487271,1.50347949690167,1.04753786204052,1.01358563807111,1.62374236314941,0.601152476575322,1.26822441881587,1.63511688481546,1.2334291902101,0.70604882111388,1.51987448942816,0
"424",1.28676581996165,0.226924711387036,-2.4254627280644,1.31048234346373,-0.0646105391733494,-1.59135006152366,-2.08986406684503,1.84403486595565,-0.606229073896128,-0.0822906157015545,1.7302609819111,0.0770182184499815,0.362522698500807,0.454168494190158,1.19282891692255,0.618455943057689,0.571720705821409,-0.0281197418118879,0.277566929883037,0.50751680434912,0.97949751401381,-0.786458645842463,-0.0545300803126709,0
