Data,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,Southern Africa,Western Europe,Central Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India +,Korea,China +,Southeastern Asia,Indonesia +,Japan,Oceania,Greenland,Antarctica,Grand Total
Sum of 1970,316337,4299189,134593,156289,392322,251760,155917,21866,39624,340920,5733333,1947227,190387,834542,666888,1505445,92534,593867,222434,948000,250409,41416,673133,1156609,0,0,20965041
Sum of 1975,502400,4647438,250188,168728,1078776,284605,255782,65578,49331,441216,5427346,2719957,382777,1240881,991596,2238446,203410,699157,333307,1526000,273061,119067,684233,924734,0,0,25508013
Sum of 1980,633033,4741476,295765,169422,1663933,352083,347486,102503,60272,580126,5752912,3061901,565803,1525030,1218662,2751027,377052,1633425,303330,2578167,324560,235675,740667,1166660,0,0,31180969
Sum of 1985,687767,3883855,397367,183423,1510429,447836,500717,139475,75649,462459,5158887,3105630,517288,2034303,1625625,3669713,741763,2602139,327467,3371500,426550,489667,751333,1022549,0,0,34133389
Sum of 1990,593216,3859516,369333,192276,1259105,508188,408897,145698,114260,369282,4500523,1764685,614723,2032144,1623899,3665818,949878,3817144,391000,6140133,643372,584967,704667,930799,0,0,36183523
Sum of 1995,663467,4101633,288833,177444,1637000,645141,324100,116596,182026,325616,3671035,684630,533986,221667,218967,333667,801954,3585122,239333,8119567,1111149,414700,648367,1348867,0,0,30394864
Sum of 2000,617404,3987000,314100,183934,2257899,878494,365222,128435,179781,292367,3124063,642689,575832,113680,134859,270933,784675,5388351,220202,8801092,1262120,294576,554800,1539790,0,0,32912299
Sum of 2005,639752,4169867,438647,152660,3247731,1326764,460823,146712,158491,274024,2541813,1014915,599023,251374,64857,351308,849546,6342816,260161,13017415,1243242,334940,604385,1680834,0,0,40172099
Sum of 2009,561812,3335600,196266,97221,2799557,1029407,308796,77987,241606,263429,1573083,775695,580886,422573,215280,399848,456742,8711959,83700,12799647,1085076,508312,374848,983708,0,0,37883038
