"","Total Accuracy","HAB Accuracy","Non-HAB Accuracy","Recall","Precision","F1","Matthews"
"SVM",0.78544776119403,0.634069400630915,0.849006622516556,0.634069400630915,0.638095238095238,0.636075949367089,0.48396657989037
"RVM",0.624067164179104,0.728706624605678,0.580132450331126,0.728706624605678,0.421532846715328,0.534104046242775,0.281954757616108
"NB",0.523320895522388,0.851735015772871,0.385430463576159,0.851735015772871,0.367847411444142,0.513796384395814,0.232942215836137
"NET",0.736940298507463,0.56782334384858,0.80794701986755,0.56782334384858,0.553846153846154,0.560747663551402,0.373098626853744
