eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
ET-06-002,2006,,,1,microcystins,NULL,,0,1,0,0,0,0,,0,0,Lake Langano,7.5,7.7,,,,,,,,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"E. Willén et al., Cyanotoxin production in seven Ethiopian Rift Valley lakes. Inland Waters 1, 81–91 (2011).",,,2/18/2019 2:21,,,ETHIOPIA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ET-06-001,2006,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Awassa,6.966667,7.116667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"E. Willén et al., Cyanotoxin production in seven Ethiopian Rift Valley lakes. Inland Waters 1, 81–91 (2011).",,,2/18/2019 2:20,,,ETHIOPIA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ES-05-004,2005,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Albufera,39.316667,-0.35,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"S. Romo, F. Fernández, Y. Ouahid, Á. Barón-Sola, Assessment of microcystins in lake water and fish (Mugilidae, Liza sp.) in the largest Spanish coastal lake. Environmental Monitoring and Assessment 184, 939–949 (2012).",,,2/12/2019 1:28,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-021,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,Rio Sequillo,40.966667,-3.65,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:34,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-020,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Lozoya,40.95,-3.766667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:33,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Aphanizomenon spp.,,,,,,,,,,,,Anabaena spp.,,,,,
ES-02-019,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,El Vello &#769;n,40.75,-3.616667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:32,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-018,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,Santillana,40.716667,-3.85,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:31,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-017,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,Valmayor,40.366667,-4.05,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:30,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-016,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,San Juan,40.366667,-4.3,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:29,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ES-02-015,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,Picadas,40.316667,-4.216667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"D. Carrasco et al., Cyanobacterial abundance and microcystin occurrence in Mediterranean water reservoirs in Central Spain: microcystins in the Madrid area. Eur. J. Phycol. 41, 281–291 (2006).",,,2/12/2019 1:29,,,SPAIN,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
EG-15-001,2015,,,0,,NULL,,0,1,0,0,0,0,,0,0,Nile river,30.166667,31.1,,,,,,,,0,,,1,"microcystins, toxins from Cylindrospermopsis",0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"L. Ndlela, P. Oberholster, J. Van Wyk, P. Cheng, An overview of cyanobacterial bloom occurrences and research in Africa over the last decade. Harmful Algae 60, 11–26 (2016).",,,2/6/2019 10:50,,,EGYPT,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
EG-06-002,2006,,,0,,NULL,,0,1,0,0,0,0,,0,0,Nile Delta,30.9,31.116667,,,,,,,,0,,,1,"microcystins, toxins from Cylindrospermopsis",0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"R. Amer, B. Díez, R. El-Shehawy, Diversity of hepatotoxic cyanobacteria in the Nile Delta, Egypt. Journal of Environmental Monitoring 11, 126–133 (2009).",,,2/6/2019 10:51,,,EGYPT,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
EG-05-001,2005,Alexandria,,0,,0,,0,0,0,1,0,0,,0,0,Eastern Harbour,29.883056,31.216667,,,,,,,,0,,,0,,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,5/4/2017 9:51,,EGYPT,Cyanobacterial toxins effects,,,,,,,,Oscillatoria sp.,,Oscillatoria accutissima,,,,,,,,,,,,,,,,,,
EG-02-001,2002,,,0,,NULL,,0,1,0,0,0,0,,0,0,El-Dowyrat Fish farm,26.5,31.816667,,,,,,,,0,,,1,"microcystins, toxins from Cylindrospermopsis",0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"Z. A. Mohamed, First report of toxic Cylindrospermopsis raciborskii and Raphidiopsis mediterranea (Cyanoprokaryota) in Egyptian fresh waters. FEMS Microbiol. Ecol. 59, 749–761 (2006).",,,2/6/2019 10:49,,,EGYPT,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
EE-97-001,1997,,,1,"microcystins, anatoxins, saxitoxins, cylindrospermopsins",NULL,,0,1,0,0,0,0,,0,0,Lake Peipsi,58.666667,27.466667,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"R. Laugaste, K. Panksep, M. Haldna, Dominant cyanobacterial genera in Lake Peipsi (Estonia/Russia): effect of weather and nutrients in summer months. Estonian Journal of Ecology 62,  (2013).",,,2/10/2019 12:21,,,ESTONIA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
DZ-08-003,2008,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Oubeira,36.88,8.377778,,,,,,,,1,,,1,,0,0,0,0,1,0,0,0,0,0,0,,NULL,,,"H. Nasri, S. El Herry, N. Bouaïcha, First reported case of turtle deaths during a toxic Microcystis spp. bloom in Lake Oubeira, Algeria. Ecotoxicol. Environ. Saf. 71, 535–544 (2008).          N. Bouaïcha, A. B. Nasri, First report of cyanobacterium Cylindrospermopsis raciborskii from Algerian freshwaters. Environ. Toxicol. 19, 541–543 (2004).",,,1/30/2019 12:29,,,ALGERIA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,
